tweets;Afet;Siyasi;Mağduriyet
hatay çevre illerde hissedilen sonrası can mal kaybının olmamasını temenni ediyorum vatandaşlarımıza geçmiş olsun dileklerimi iletiyorumrabbim milletimizi korusun;1;0;0
hatay kırıkhan ilçesinde  büyüklüğünde deprem meydana gelddepremin derinliği  olarak ölçüldü;1;0;0
afad yapılan açılamaya hatay  şiddetinde deprem meydana geldi;1;0;0
hatay meydana gelen  şiddetindeki deprem çevre illerden hissedildi bölge halkımıza geçmiş olsun dileklerimizi iletiyoruz nşallah can kaybı yoktur;1;0;0
hatay kırıkhan merkezli şiddetinde deprem meydana gelmiştir hatay geçmiş olsun temennim can kaybının yaşanmamasıdır rabbim beterinden korusun;1;0;0
hatay meydana gelen  şiddetindeki deprem çevre illerden hissedildi bölge halkımıza geçmiş olsun dileklerimizi iletiyoruz nşallah can kaybı yoktur;1;0;0
 ülkeme geçmiş olsun bizi sınamadan hazırlıklı olmak zorundayızbüyüklük yerkırıkhan hataytarihsaat tsienlem nboylam ederinlik kmdetay;1;0;0
merkez üssü kırıkhan olan şehrimizde yoğun şekilde hissedildi deprem can kaybı olmamasını diliyor etkilenenen yurttaşlarımıza geçmiş olsun dileklerimi sunuyorum;1;0;0
sahibim bunu durumda paylaşmış aldım evini yıkayım gör tweeti atacaktım deprem allah nota verdi;1;0;0
 hatay  şiddetinde deprem meydana geldi;1;0;0
merkez üssü olan  şiddetindeki deprem hissedildi rabbim ülkemizi milletimizi türlü felaketlerden korusun;1;0;0
sondakika hatay çevresinde büyüklüğünde deprem;1;0;0
bölgesinde yaşamak sonrakinde kalp krizinden gidici duruyorum;1;0;0
kandilli rasathanesi abi paylaşsanız deprem oldugunu;1;0;0
şehrimizde çevre illerde hissedilen deprem sonrası can mal kaybının olmamasını temenni ediyor vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum;1;0;0
deprem ayaktaydim diz bağlarım çözüldü zannettim;1;0;0
deprem yüreğimden vurdu ondandır deprem içimde benim dedim hala sallanıyoruz  depremmiş;1;0;0
kilis deprem bölgesi olmamasına sallandı deprem merkezi allah yardımcıları olsun;1;0;0
anani sikim deprem;1;0;0
deprem tövbeler olsun;1;0;0
ufak çaplı deprem;1;0;0
şiddetli deprem;1;0;0
ananiiskm deprem amkk taehyun ozur dilerim mac sevmedigim icin;1;0;0
korfezi akdeniz   büyüklüğünde olduderinlik enlem boylam    ;1;0;0
